,Date (Year/Month), PRIMARY DESCRIPTION,LATITUDE,LONGITUDE
1045,2019-08,CRIMINAL DAMAGE,41.656413759,-87.609535041
1074,2019-08,CRIMINAL DAMAGE,41.656484744000004,-87.605132044
1076,2019-08,THEFT,41.656489135,-87.607561806
1096,2019-08,BATTERY,41.65658079,-87.605130963
1101,2019-08,BATTERY,41.656604445,-87.614118085
1104,2019-08,THEFT,41.656607221,-87.539887991
1105,2019-08,THEFT,41.656607221,-87.539887991
1108,2019-08,CRIMINAL DAMAGE,41.65662744,-87.60513043700001
1112,2019-08,BATTERY,41.656653601,-87.60233438899999
1126,2019-08,THEFT,41.656673495999996,-87.547136365
1131,2019-08,ASSAULT,41.656683787,-87.60233404799999
1161,2019-08,CRIMINAL DAMAGE,41.656756064,-87.608546838
1179,2019-08,CRIMINAL DAMAGE,41.656816459,-87.608549821
1185,2019-08,BATTERY,41.656823738,-87.602332465
1186,2019-08,THEFT,41.656832201,-87.60756527299999
1199,2019-08,WEAPONS VIOLATION,41.656856935,-87.539884926
1202,2019-08,THEFT,41.656906037,-87.59759630200001
1204,2019-08,THEFT,41.656911096,-87.609631935
1206,2019-08,CRIM SEXUAL ASSAULT,41.656923855,-87.605134417
1220,2019-08,THEFT,41.656972482,-87.59768703
1240,2019-08,BATTERY,41.657199311,-87.60183786
1246,2019-08,NARCOTICS,41.657215826999995,-87.603140417
1250,2019-08,ASSAULT,41.657234536,-87.613064487
1265,2019-08,BATTERY,41.657256728,-87.603963319
1275,2019-08,OTHER OFFENSE,41.657262635,-87.60402912200001
1300,2019-08,ROBBERY,41.657321469,-87.60638511200001
1353,2019-08,THEFT,41.65754143,-87.61342700899999
1366,2019-08,CRIMINAL DAMAGE,41.657609124000004,-87.597679785
1367,2019-08,CRIMINAL TRESPASS,41.657610533,-87.595758575
1368,2019-08,CRIMINAL TRESPASS,41.657674825,-87.60497958
1376,2019-08,SEX OFFENSE,41.657676679,-87.60527231299999
1401,2019-08,WEAPONS VIOLATION,41.657707142,-87.59584529899999
1403,2019-08,BATTERY,41.657737705,-87.60062415700001
1406,2019-08,ROBBERY,41.657770676999995,-87.597623055
1408,2019-08,MOTOR VEHICLE THEFT,41.657770676999995,-87.597623055
1413,2019-08,THEFT,41.657791074,-87.603404717
1419,2019-08,THEFT,41.657824004,-87.603404345
1433,2019-08,THEFT,41.657895352,-87.603403539
1437,2019-08,WEAPONS VIOLATION,41.657902256,-87.597599601
1441,2019-08,WEAPONS VIOLATION,41.657906256,-87.600373405
1444,2019-08,CRIMINAL DAMAGE,41.657907413000004,-87.60012455100001
1446,2019-08,BATTERY,41.657907413000004,-87.60012455100001
1456,2019-08,THEFT,41.65791184,-87.603407012
1462,2019-08,DECEPTIVE PRACTICE,41.657913042,-87.60143822399999
1474,2019-08,ASSAULT,41.65803116,-87.597587155
1481,2019-08,THEFT,41.658088764,-87.59758284
1520,2019-08,DECEPTIVE PRACTICE,41.658171666,-87.636877069
1522,2019-08,ASSAULT,41.658178022,-87.60340400700001
1544,2019-08,ASSAULT,41.658286926,-87.545898145
1554,2019-08,CRIMINAL DAMAGE,41.658311231999996,-87.600617656
1557,2019-08,ASSAULT,41.658311231999996,-87.600617656
1575,2019-08,MOTOR VEHICLE THEFT,41.658374668,-87.646440719
1577,2019-08,CRIMINAL DAMAGE,41.658380223,-87.61064745600001
1578,2019-08,THEFT,41.658410841,-87.548366769
1583,2019-08,ASSAULT,41.658437143,-87.639479749
1591,2019-08,CRIMINAL DAMAGE,41.658448879,-87.644167401
1593,2019-08,ASSAULT,41.658453336,-87.643995358
1594,2019-08,CRIMINAL TRESPASS,41.658470597,-87.53988341600001
1609,2019-08,CRIMINAL DAMAGE,41.65850371,-87.610646075
1615,2019-08,DECEPTIVE PRACTICE,41.658548055,-87.555632799
1618,2019-08,THEFT,41.658594292,-87.54589806
1620,2019-08,WEAPONS VIOLATION,41.658610386,-87.605371581
1627,2019-08,WEAPONS VIOLATION,41.658635903000004,-87.617297524
1628,2019-08,MOTOR VEHICLE THEFT,41.658635903000004,-87.617297524
1643,2019-08,OTHER OFFENSE,41.658711778000004,-87.604049367
1660,2019-08,CRIMINAL DAMAGE,41.658871865,-87.55928838700001
1670,2019-08,BATTERY,41.659063801,-87.63284932299999
1676,2019-08,OTHER OFFENSE,41.659105805,-87.617837585
1684,2019-08,THEFT,41.659115940999996,-87.632848758
1690,2019-08,OTHER OFFENSE,41.659126778,-87.64371737299999
1713,2019-08,THEFT,41.659149005,-87.63648229
1720,2019-08,BATTERY,41.659157901,-87.642502084
1728,2019-08,THEFT,41.659168548000004,-87.549210231
1732,2019-08,THEFT,41.659179396,-87.552415821
1739,2019-08,THEFT,41.65919273,-87.59769835700001
1745,2019-08,THEFT,41.65924115,-87.641286236
1746,2019-08,THEFT,41.659249967,-87.599783626
1762,2019-08,THEFT,41.659911831,-87.64374559299999
1788,2019-08,OTHER OFFENSE,41.660140159,-87.618236006
1795,2019-08,CRIMINAL DAMAGE,41.660171899,-87.63409986399999
1796,2019-08,CRIMINAL DAMAGE,41.660171899,-87.63409986399999
1821,2019-08,CRIMINAL DAMAGE,41.660383992,-87.55319905399999
1835,2019-08,BATTERY,41.660588995,-87.633641563
1849,2019-08,CRIMINAL DAMAGE,41.660861854000004,-87.636544335
1859,2019-08,BATTERY,41.661014055,-87.64540993600001
1868,2019-08,OTHER OFFENSE,41.661041196999996,-87.63534570799999
1884,2019-08,OTHER OFFENSE,41.661284421,-87.644272574
1893,2019-08,PUBLIC PEACE VIOLATION,41.661815639000004,-87.64224677899999
1897,2019-08,ASSAULT,41.661927829,-87.63538004899999
