,Date (Year/Month), PRIMARY DESCRIPTION,LATITUDE,LONGITUDE
46171,2019-08,MOTOR VEHICLE THEFT,41.753328671,-87.650175257
46177,2019-08,NARCOTICS,41.753337419,-87.664724638
46193,2019-08,CRIMINAL DAMAGE,41.753356628,-87.664724438
46194,2019-08,CRIMINAL DAMAGE,41.753356628,-87.664724438
46198,2019-08,BATTERY,41.753362509,-87.66715417700001
46204,2019-08,THEFT,41.753367468,-87.64289277799999
46224,2019-08,THEFT,41.75339121,-87.657035207
46225,2019-08,BATTERY,41.75339121,-87.657035207
46261,2019-08,MOTOR VEHICLE THEFT,41.753436621999995,-87.66715707600001
46264,2019-08,ASSAULT,41.753444703,-87.658665509
46310,2019-08,CRIMINAL DAMAGE,41.75350466,-87.56960144700001
46325,2019-08,DECEPTIVE PRACTICE,41.753509097,-87.63680392299999
46333,2019-08,OTHER OFFENSE,41.753518613000004,-87.698109695
46339,2019-08,WEAPONS VIOLATION,41.753535281,-87.658668225
46376,2019-08,NARCOTICS,41.753552239,-87.641674063
46385,2019-08,NARCOTICS,41.753553084,-87.565749107
46410,2019-08,BATTERY,41.753567661999995,-87.564645811
46412,2019-08,BATTERY,41.753567661999995,-87.564645811
46415,2019-08,NARCOTICS,41.75357022,-87.65018369100001
46437,2019-08,DECEPTIVE PRACTICE,41.753585879,-87.66027657299999
46442,2019-08,CRIMINAL DAMAGE,41.753590237,-87.71679984299999
46445,2019-08,BATTERY,41.753598202,-87.56224129799999
46457,2019-08,NARCOTICS,41.753602854,-87.554387446
46503,2019-08,CRIMINAL DAMAGE,41.753646441,-87.64045631399999
46524,2019-08,THEFT,41.75366368,-87.62305532200001
46532,2019-08,BATTERY,41.753676598,-87.556361916
46534,2019-08,BATTERY,41.753676598,-87.556361916
46550,2019-08,BATTERY,41.753682599,-87.55603200600001
46553,2019-08,THEFT,41.753692118000004,-87.621442465
46589,2019-08,BATTERY,41.753758951,-87.619829181
46593,2019-08,BATTERY,41.753772600000005,-87.647762725
46598,2019-08,CRIMINAL DAMAGE,41.753773687,-87.642903084
46606,2019-08,BATTERY,41.753790053,-87.646549464
46626,2019-08,BATTERY,41.753792896,-87.64290287799999
46672,2019-08,BATTERY,41.753863454,-87.6150197
46674,2019-08,WEAPONS VIOLATION,41.753866015999996,-87.640461283
46683,2019-08,MOTOR VEHICLE THEFT,41.75389304,-87.553878184
46696,2019-08,ASSAULT,41.753934124000004,-87.624631906
46697,2019-08,ASSAULT,41.753934124000004,-87.624631906
46702,2019-08,ASSAULT,41.753934124000004,-87.624631906
46703,2019-08,STALKING,41.753934124000004,-87.624631906
46704,2019-08,THEFT,41.753934124000004,-87.624631906
46756,2019-08,BATTERY,41.753974914000004,-87.550179329
46764,2019-08,CRIMINAL DAMAGE,41.753974914000004,-87.550179329
46773,2019-08,OTHER OFFENSE,41.753981107,-87.61015141799999
46782,2019-08,CRIMINAL DAMAGE,41.753991097,-87.60651573700001
46783,2019-08,MOTOR VEHICLE THEFT,41.75399245,-87.615021926
46788,2019-08,BATTERY,41.75399853,-87.623062625
46806,2019-08,CRIMINAL DAMAGE,41.754008281,-87.604030749
46807,2019-08,BATTERY,41.754010145,-87.66243442700001
46809,2019-08,ASSAULT,41.754018898000005,-87.611360407
46837,2019-08,CRIMINAL TRESPASS,41.754042669,-87.60772823399999
46839,2019-08,BATTERY,41.754042669,-87.60772823399999
46840,2019-08,CRIM SEXUAL ASSAULT,41.754042669,-87.60772823399999
46855,2019-08,BATTERY,41.754061308000004,-87.553601282
46863,2019-08,CRIMINAL TRESPASS,41.754077457,-87.602824217
46957,2019-08,ASSAULT,41.754125338,-87.654480396
46970,2019-08,BATTERY,41.754141253,-87.58924505799999
46974,2019-08,NARCOTICS,41.754147513,-87.552555745
46981,2019-08,THEFT,41.75415651,-87.604036401
46988,2019-08,CRIMINAL DAMAGE,41.754160708,-87.58337367200001
46995,2019-08,BATTERY,41.754166144,-87.652101445
47012,2019-08,THEFT,41.754168689000004,-87.60163575600001
47027,2019-08,THEFT,41.754169124,-87.69417083799999
47028,2019-08,ROBBERY,41.754169589,-87.651756907
47037,2019-08,DECEPTIVE PRACTICE,41.754177741999996,-87.606520961
47048,2019-08,BATTERY,41.754196381,-87.583373256
47049,2019-08,CRIMINAL DAMAGE,41.754198667,-87.649722579
47050,2019-08,ASSAULT,41.754199191,-87.649810531
47052,2019-08,CRIMINAL DAMAGE,41.754200808,-87.584472674
47057,2019-08,CRIMINAL DAMAGE,41.754204588,-87.649334036
47064,2019-08,THEFT,41.754209909000004,-87.550433015
47080,2019-08,ASSAULT,41.754213416,-87.60652055899999
47140,2019-08,BATTERY,41.754268506,-87.64487316600001
47146,2019-08,BURGLARY,41.754270063,-87.719219509
47156,2019-08,WEAPONS VIOLATION,41.754275914000004,-87.643363145
47162,2019-08,ASSAULT,41.754276134,-87.64339979200001
47164,2019-08,BATTERY,41.754276134,-87.64339979200001
47170,2019-08,BATTERY,41.7542778,-87.64322019299999
47193,2019-08,CRIMINAL DAMAGE,41.75429591,-87.57971086
47202,2019-08,THEFT,41.754303906,-87.550534489
47242,2019-08,ASSAULT,41.754350364000004,-87.612577107
47271,2019-08,THEFT,41.754388164,-87.702521013
47276,2019-08,ASSAULT,41.754391927,-87.599203385
47278,2019-08,ASSAULT,41.754391927,-87.599203385
47301,2019-08,BATTERY,41.754402034,-87.565071979
47308,2019-08,WEAPONS VIOLATION,41.754415996,-87.562649309
47316,2019-08,WEAPONS VIOLATION,41.754424418,-87.634785654
47319,2019-08,THEFT,41.754424685,-87.63482963
47321,2019-08,THEFT,41.75443255,-87.56143602600001
47334,2019-08,BATTERY,41.754447645999996,-87.550686669
47347,2019-08,BATTERY,41.75446251,-87.589695797
47396,2019-08,CRIMINAL DAMAGE,41.754509295,-87.56264819200001
47401,2019-08,DECEPTIVE PRACTICE,41.75450954,-87.58216018899999
47405,2019-08,THEFT,41.754517878,-87.682963704
47406,2019-08,THEFT,41.754517878,-87.682963704
47416,2019-08,CRIMINAL DAMAGE,41.754525873,-87.56143857299999
47426,2019-08,BATTERY,41.754528881999995,-87.732355809
47444,2019-08,OFFENSE INVOLVING CHILDREN,41.754552909000004,-87.59434919899999
47445,2019-08,MOTOR VEHICLE THEFT,41.754552909000004,-87.59434919899999
47467,2019-08,OFFENSE INVOLVING CHILDREN,41.754574833,-87.566290335
47468,2019-08,BATTERY,41.754574833,-87.566290335
47489,2019-08,THEFT,41.754592961,-87.74152853700001
47500,2019-08,THEFT,41.754592961,-87.74152853700001
47505,2019-08,OFFENSE INVOLVING CHILDREN,41.754592961,-87.74152853700001
47517,2019-08,THEFT,41.754592961,-87.74152853700001
47520,2019-08,BATTERY,41.754592961,-87.74152853700001
47532,2019-08,THEFT,41.754592961,-87.74152853700001
47545,2019-08,THEFT,41.754592961,-87.74152853700001
47548,2019-08,THEFT,41.754592961,-87.74152853700001
47575,2019-08,THEFT,41.754592961,-87.74152853700001
47580,2019-08,THEFT,41.754592961,-87.74152853700001
47581,2019-08,THEFT,41.754592961,-87.74152853700001
47583,2019-08,ROBBERY,41.754592961,-87.74152853700001
47593,2019-08,THEFT,41.754592961,-87.74152853700001
47599,2019-08,THEFT,41.754592961,-87.74152853700001
47602,2019-08,THEFT,41.754592961,-87.74152853700001
47604,2019-08,THEFT,41.754592961,-87.74152853700001
47609,2019-08,BATTERY,41.754592961,-87.74152853700001
47611,2019-08,ASSAULT,41.754592961,-87.74152853700001
47618,2019-08,CRIMINAL DAMAGE,41.754592961,-87.74152853700001
47622,2019-08,THEFT,41.754592961,-87.74152853700001
47639,2019-08,CRIMINAL DAMAGE,41.754592961,-87.74152853700001
47642,2019-08,THEFT,41.754592961,-87.74152853700001
47643,2019-08,THEFT,41.754592961,-87.74152853700001
47653,2019-08,DECEPTIVE PRACTICE,41.754592961,-87.74152853700001
47655,2019-08,BATTERY,41.754592961,-87.74152853700001
47666,2019-08,ROBBERY,41.754592961,-87.74152853700001
47672,2019-08,THEFT,41.754592961,-87.74152853700001
47681,2019-08,THEFT,41.754592961,-87.74152853700001
47682,2019-08,THEFT,41.754592961,-87.74152853700001
47691,2019-08,OFFENSE INVOLVING CHILDREN,41.754592961,-87.74152853700001
47693,2019-08,THEFT,41.754592961,-87.74152853700001
47698,2019-08,THEFT,41.754592961,-87.74152853700001
47712,2019-08,THEFT,41.754592961,-87.74152853700001
47713,2019-08,THEFT,41.754592961,-87.74152853700001
47722,2019-08,BATTERY,41.754602863,-87.58216276600001
47728,2019-08,CRIMINAL DAMAGE,41.754605346,-87.583383155
47732,2019-08,BATTERY,41.754609395,-87.62377055
47735,2019-08,THEFT,41.754615853000004,-87.567502935
47749,2019-08,OTHER OFFENSE,41.754631906,-87.686634813
47757,2019-08,CRIMINAL DAMAGE,41.754635661,-87.561440922
47758,2019-08,ASSAULT,41.754635661,-87.561440922
47763,2019-08,BATTERY,41.754638316,-87.56265397899999
47797,2019-08,CRIMINAL DAMAGE,41.754683888,-87.58448538299999
47803,2019-08,WEAPONS VIOLATION,41.754686383,-87.61936445799999
47805,2019-08,THEFT,41.754686571,-87.57360785700001
47829,2019-08,THEFT,41.754706432,-87.567505523
47868,2019-08,THEFT,41.754724423,-87.554667078
47877,2019-08,DECEPTIVE PRACTICE,41.754724423,-87.554667078
47895,2019-08,CRIMINAL DAMAGE,41.754736885999996,-87.56507898
47906,2019-08,BATTERY,41.754756201999996,-87.673263874
47908,2019-08,BATTERY,41.754756201999996,-87.673263874
47910,2019-08,BATTERY,41.754758711,-87.566291811
47921,2019-08,OTHER OFFENSE,41.754775411,-87.67326367700001
47925,2019-08,NARCOTICS,41.754779895,-87.573610421
47927,2019-08,ASSAULT,41.754783153000005,-87.614199495
47930,2019-08,BURGLARY,41.754783291,-87.558503546
47987,2019-08,CRIMINAL DAMAGE,41.754827555,-87.563864807
47996,2019-08,CRIMINAL TRESPASS,41.754831829000004,-87.73308597200001
48001,2019-08,THEFT,41.754844238000004,-87.661934639
48010,2019-08,BATTERY,41.754855321,-87.60952223
48019,2019-08,CRIM SEXUAL ASSAULT,41.754877189,-87.56144535799999
48027,2019-08,ASSAULT,41.754878573,-87.722171321
48049,2019-08,BATTERY,41.754906915,-87.566293711
48055,2019-08,CRIMINAL DAMAGE,41.754919006,-87.606135109
48075,2019-08,CRIMINAL DAMAGE,41.754930421,-87.559975081
48085,2019-08,BURGLARY,41.754940649,-87.685418616
48105,2019-08,ROBBERY,41.754967768,-87.56144793799999
48124,2019-08,MOTOR VEHICLE THEFT,41.754988848,-87.73110176799999
48127,2019-08,THEFT,41.754988848,-87.73110176799999
48131,2019-08,CRIMINAL DAMAGE,41.754992443,-87.661936759
48139,2019-08,BATTERY,41.755001913,-87.65142925100001
48140,2019-08,CRIMINAL DAMAGE,41.755001913,-87.65142925100001
48142,2019-08,BATTERY,41.755001913,-87.65142925100001
48150,2019-08,THEFT,41.755008432,-87.73012670700001
48159,2019-08,CRIMINAL DAMAGE,41.755010646,-87.727938708
48161,2019-08,GAMBLING,41.75501352,-87.65385166
48163,2019-08,CRIMINAL TRESPASS,41.755017022,-87.728107236
48168,2019-08,DECEPTIVE PRACTICE,41.755020423000005,-87.728231812
48172,2019-08,CRIMINAL TRESPASS,41.755022091,-87.71718562
48188,2019-08,BURGLARY,41.755042102,-87.725061421
48225,2019-08,BATTERY,41.755090066,-87.64779634899999
48227,2019-08,PUBLIC PEACE VIOLATION,41.755090378,-87.653854514
48228,2019-08,ASSAULT,41.755093518,-87.650218846
48243,2019-08,BATTERY,41.755110263,-87.646583034
48246,2019-08,THEFT,41.755113504,-87.658710336
48260,2019-08,MOTOR VEHICLE THEFT,41.755134374,-87.58497125
48265,2019-08,BURGLARY,41.755144711,-87.71091369700001
48272,2019-08,BURGLARY,41.755149227,-87.71073407
48282,2019-08,BURGLARY,41.75516424,-87.665988413
48321,2019-08,CRIMINAL DAMAGE,41.755219145,-87.66599151
48335,2019-08,ASSAULT,41.755239277,-87.673277249
48339,2019-08,OTHER OFFENSE,41.755246027,-87.57562797899999
48342,2019-08,ARSON,41.755253972,-87.641718096
48346,2019-08,PUBLIC PEACE VIOLATION,41.75525849,-87.646588784
48351,2019-08,INTERFERENCE WITH PUBLIC OFFICER,41.755259927,-87.651437515
48363,2019-08,WEAPONS VIOLATION,41.755278376999996,-87.634413562
48370,2019-08,BATTERY,41.755294005,-87.63563016100001
48383,2019-08,THEFT,41.755314051,-87.634413175
48397,2019-08,ASSAULT,41.755334667,-87.691568139
48435,2019-08,THEFT,41.755368956,-87.634416245
48457,2019-08,CRIMINAL DAMAGE,41.755381743,-87.56466081399999
48478,2019-08,THEFT,41.755397998,-87.563399873
48479,2019-08,CRIMINAL DAMAGE,41.755398293,-87.563443849
48480,2019-08,CRIMINAL DAMAGE,41.755398293,-87.563443849
48485,2019-08,BATTERY,41.755399588,-87.56322759999999
48486,2019-08,NARCOTICS,41.755399588,-87.56322759999999
48490,2019-08,INTERFERENCE WITH PUBLIC OFFICER,41.755401743,-87.563139616
48516,2019-08,NARCOTICS,41.755424135,-87.645377577
48519,2019-08,OFFENSE INVOLVING CHILDREN,41.755426183000004,-87.551319814
48521,2019-08,BATTERY,41.75542734,-87.65143940700001
48533,2019-08,BATTERY,41.755431881999996,-87.560680064
48558,2019-08,DECEPTIVE PRACTICE,41.755451096,-87.68299093200001
48560,2019-08,CRIMINAL DAMAGE,41.75546253,-87.708290165
48569,2019-08,CRIMINAL DAMAGE,41.75547982,-87.647806861
48574,2019-08,ASSAULT,41.755482245,-87.651442491
48585,2019-08,BATTERY,41.755500696,-87.63441848
48588,2019-08,BATTERY,41.755500696,-87.63441848
48600,2019-08,THEFT,41.755514708,-87.64172262700001
48601,2019-08,BATTERY,41.755514708,-87.64172262700001
48627,2019-08,ROBBERY,41.755554244,-87.653867946
48633,2019-08,BATTERY,41.755554763,-87.63563833200001
48640,2019-08,CRIMINAL DAMAGE,41.755574809,-87.634421341
48658,2019-08,THEFT,41.755593339,-87.646596209
48666,2019-08,CRIMINAL DAMAGE,41.755604394,-87.64294576799999
48668,2019-08,BATTERY,41.755608031,-87.64172529
48676,2019-08,CRIMINAL DAMAGE,41.755613227,-87.634420924
48679,2019-08,CRIMINAL DAMAGE,41.755613227,-87.634420924
48680,2019-08,CRIMINAL DAMAGE,41.755613227,-87.634420924
48681,2019-08,BURGLARY,41.755613227,-87.634420924
48687,2019-08,BATTERY,41.755613227,-87.634420924
48694,2019-08,DECEPTIVE PRACTICE,41.755617231,-87.644169735
48702,2019-08,THEFT,41.755617231,-87.644169735
48726,2019-08,BATTERY,41.755633716999995,-87.644173224
48743,2019-08,THEFT,41.755633716999995,-87.644173224
48745,2019-08,ASSAULT,41.755633716999995,-87.644173224
48766,2019-08,BATTERY,41.755642812,-87.642945357
48783,2019-08,CRIMINAL DAMAGE,41.755669188,-87.636857533
48795,2019-08,INTERFERENCE WITH PUBLIC OFFICER,41.755695730999996,-87.639430067
48821,2019-08,WEAPONS VIOLATION,41.755763949,-87.62631233100001
48851,2019-08,BATTERY,41.755797128000005,-87.634426259
48857,2019-08,CRIMINAL DAMAGE,41.755802650999996,-87.66439852200001
48896,2019-08,BATTERY,41.755857224,-87.612615222
48932,2019-08,BATTERY,41.755906210999996,-87.65770881899999
48935,2019-08,NARCOTICS,41.755906210999996,-87.65770881899999
48967,2019-08,CRIMINAL DAMAGE,41.755925073,-87.55852646299999
48978,2019-08,THEFT,41.755929033,-87.657389725
49006,2019-08,THEFT,41.755949891,-87.601659504
49025,2019-08,MOTOR VEHICLE THEFT,41.755965725,-87.65709614
49037,2019-08,CRIMINAL DAMAGE,41.755970933,-87.65704844
49053,2019-08,BATTERY,41.755974849,-87.55533365299999
49056,2019-08,ASSAULT,41.755980926999996,-87.652236184
49066,2019-08,BATTERY,41.755982889,-87.652104223
49084,2019-08,WEAPONS VIOLATION,41.756006878,-87.650597652
49088,2019-08,DECEPTIVE PRACTICE,41.756007259,-87.587533939
49097,2019-08,NARCOTICS,41.756018038,-87.615068975
49100,2019-08,CRIMINAL DAMAGE,41.756021264,-87.61383016799999
49112,2019-08,NARCOTICS,41.75602484,-87.649464974
49123,2019-08,BATTERY,41.756035228,-87.618264667
49137,2019-08,DECEPTIVE PRACTICE,41.756041655,-87.648141728
49144,2019-08,NARCOTICS,41.756055847,-87.604080868
49198,2019-08,ASSAULT,41.756062272,-87.646998026
49225,2019-08,OTHER OFFENSE,41.75607763,-87.64589469399999
49227,2019-08,WEAPONS VIOLATION,41.756078887,-87.601661704
49231,2019-08,WEAPONS VIOLATION,41.756081533,-87.64379826700001
49240,2019-08,MOTOR VEHICLE THEFT,41.756090258,-87.583420843
49255,2019-08,WEAPONS VIOLATION,41.756091788,-87.63234133700001
49272,2019-08,OTHER OFFENSE,41.756094931,-87.644659401
49281,2019-08,BURGLARY,41.756094931,-87.644659401
49282,2019-08,CRIM SEXUAL ASSAULT,41.756095195,-87.64470337799999
49321,2019-08,OFFENSE INVOLVING CHILDREN,41.756115887,-87.605326291
49341,2019-08,BURGLARY,41.756128699,-87.58342406
49357,2019-08,CRIMINAL DAMAGE,41.756152334,-87.58452328799999
49361,2019-08,DECEPTIVE PRACTICE,41.756161959,-87.62632628700001
49371,2019-08,THEFT,41.756165449,-87.57730673399999
49374,2019-08,WEAPONS VIOLATION,41.756169345,-87.567535777
49375,2019-08,NARCOTICS,41.756170793,-87.605329336
49383,2019-08,CRIMINAL DAMAGE,41.756177274,-87.67749340399999
49397,2019-08,ROBBERY,41.756192714,-87.611413009
49404,2019-08,CRIMINAL DAMAGE,41.756195016999996,-87.58097506200001
49406,2019-08,OTHER OFFENSE,41.756195016999996,-87.58097506200001
49410,2019-08,OTHER OFFENSE,41.756195016999996,-87.58097506200001
49415,2019-08,BURGLARY,41.756205018,-87.567535353
49427,2019-08,MOTOR VEHICLE THEFT,41.756221975,-87.607780652
49440,2019-08,CONCEALED CARRY LICENSE VIOLATION,41.75622952,-87.63603417600001
49446,2019-08,CRIMINAL DAMAGE,41.756234783000004,-87.558060946
49449,2019-08,BURGLARY,41.756234882,-87.558075605
49451,2019-08,ASSAULT,41.756235673,-87.558192876
49452,2019-08,BURGLARY,41.756235979,-87.582202362
49460,2019-08,WEAPONS VIOLATION,41.756242377,-87.629590935
49477,2019-08,BATTERY,41.75625468,-87.565108524
49481,2019-08,BATTERY,41.756255681999995,-87.552636478
49497,2019-08,ROBBERY,41.756259091,-87.62471994299999
49498,2019-08,WEAPONS VIOLATION,41.756259091,-87.62471994299999
49524,2019-08,BATTERY,41.756271144,-87.565108328
49562,2019-08,BURGLARY,41.75629246,-87.602879729
49563,2019-08,THEFT,41.75629246,-87.602879729
49569,2019-08,WEAPONS VIOLATION,41.756294445,-87.577308885
49574,2019-08,BATTERY,41.756302533,-87.605331512
49576,2019-08,BURGLARY,41.756302533,-87.605331512
49591,2019-08,BATTERY,41.756309119,-87.569982345
49618,2019-08,BATTERY,41.756330319,-87.55271620399999
49649,2019-08,ROBBERY,41.756350623,-87.60166961200001
49658,2019-08,OTHER OFFENSE,41.756359171999996,-87.562681036
49690,2019-08,THEFT,41.756414827,-87.57975937200001
49697,2019-08,OTHER OFFENSE,41.756428043,-87.708705941
49700,2019-08,NARCOTICS,41.75643083,-87.624978271
49707,2019-08,CRIMINAL DAMAGE,41.756432309000004,-87.66602292200001
49708,2019-08,BATTERY,41.756432309000004,-87.66602292200001
49714,2019-08,BATTERY,41.756435928,-87.563896905
49726,2019-08,THEFT,41.756453824,-87.66358911799999
49734,2019-08,CRIMINAL DAMAGE,41.756460019,-87.707521824
49744,2019-08,BATTERY,41.756468959,-87.562683388
49752,2019-08,THEFT,41.756471093,-87.66845243799999
49762,2019-08,DECEPTIVE PRACTICE,41.756482243,-87.567543052
49764,2019-08,THEFT,41.756488192,-87.56268682299999
49765,2019-08,CRIMINAL DAMAGE,41.756488743,-87.667235464
49771,2019-08,BATTERY,41.756496183,-87.55289378
49794,2019-08,CRIMINAL DAMAGE,41.756506394,-87.58453016700001
49806,2019-08,OTHER OFFENSE,41.756514843000005,-87.571207692
49809,2019-08,BATTERY,41.756518432,-87.58343051899999
49835,2019-08,ROBBERY,41.756530374,-87.557536955
49837,2019-08,BATTERY,41.75653188,-87.56511254799999
49846,2019-08,NARCOTICS,41.756540451999996,-87.617427096
49857,2019-08,CRIMINAL DAMAGE,41.756542351,-87.617291469
49892,2019-08,NARCOTICS,41.756550472,-87.592600053
49917,2019-08,OTHER OFFENSE,41.756559628000005,-87.56147284299999
49946,2019-08,NARCOTICS,41.756569749,-87.571210707
49948,2019-08,CRIMINAL DAMAGE,41.75657167,-87.577316626
49957,2019-08,BATTERY,41.75658632,-87.569986391
49958,2019-08,CRIMINAL DAMAGE,41.75658632,-87.569986391
49964,2019-08,CRIMINAL DAMAGE,41.756586786,-87.56511555899999
49973,2019-08,ASSAULT,41.756594235,-87.66602491
49981,2019-08,OTHER OFFENSE,41.75659761,-87.56632489
50024,2019-08,BURGLARY,41.756623356,-87.55303151
50025,2019-08,BATTERY,41.756623356,-87.55303151
50028,2019-08,CRIM SEXUAL ASSAULT,41.756623356,-87.55303151
50032,2019-08,INTERFERENCE WITH PUBLIC OFFICER,41.756623356,-87.55303151
50058,2019-08,BATTERY,41.756634861,-87.560009594
50059,2019-08,THEFT,41.756636028,-87.566324432
50105,2019-08,THEFT,41.756640446999995,-87.663590843
50107,2019-08,DECEPTIVE PRACTICE,41.756640446999995,-87.663590843
50113,2019-08,THEFT,41.756640446999995,-87.663590843
50122,2019-08,BATTERY,41.756641226,-87.569989405
50123,2019-08,CRIMINAL DAMAGE,41.756641226,-87.569989405
50131,2019-08,OFFENSE INVOLVING CHILDREN,41.756652492,-87.566324236
50135,2019-08,ROBBERY,41.756654671999996,-87.611121959
50149,2019-08,BATTERY,41.756656402,-87.610960678
50159,2019-08,BATTERY,41.756670534,-87.560009165
50180,2019-08,DECEPTIVE PRACTICE,41.756689861999995,-87.663593994
50186,2019-08,THEFT,41.756689861999995,-87.663593994
50193,2019-08,DECEPTIVE PRACTICE,41.756689861999995,-87.663593994
50195,2019-08,DECEPTIVE PRACTICE,41.756689861999995,-87.663593994
50215,2019-08,ASSAULT,41.756701886,-87.60859621600001
50268,2019-08,NARCOTICS,41.756739716999995,-87.66603073299999
50272,2019-08,BATTERY,41.756751571,-87.56390413
50282,2019-08,ASSAULT,41.756765336,-87.67331658799999
50300,2019-08,DECEPTIVE PRACTICE,41.756770198000005,-87.65390643100001
50312,2019-08,THEFT,41.756772166,-87.722175346
50326,2019-08,OTHER OFFENSE,41.756781972,-87.561481174
50330,2019-08,OTHER OFFENSE,41.756794453000005,-87.60198343
50332,2019-08,CRIMINAL DAMAGE,41.756795896999996,-87.55540803299999
50366,2019-08,ASSAULT,41.756838653,-87.64420431399999
50368,2019-08,NARCOTICS,41.756838653,-87.64420431399999
50409,2019-08,CRIMINAL DAMAGE,41.756873885,-87.624731506
50418,2019-08,ASSAULT,41.756889607,-87.649056302
50419,2019-08,ASSAULT,41.756889607,-87.649056302
50425,2019-08,BATTERY,41.756889607,-87.649056302
50431,2019-08,ASSAULT,41.756895475,-87.59162851299999
50461,2019-08,BATTERY,41.756909465999996,-87.589971748
50466,2019-08,CRIMINAL DAMAGE,41.756915514,-87.710541076
50468,2019-08,BATTERY,41.756915633,-87.710563065
50489,2019-08,MOTOR VEHICLE THEFT,41.756927838,-87.58772485899999
50490,2019-08,OTHER OFFENSE,41.756927838,-87.58772485899999
50491,2019-08,ASSAULT,41.756927838,-87.58772485899999
50520,2019-08,MOTOR VEHICLE THEFT,41.756952046,-87.642978971
50521,2019-08,OFFENSE INVOLVING CHILDREN,41.756955525,-87.676334651
50522,2019-08,OTHER OFFENSE,41.756956672,-87.644206716
50529,2019-08,ROBBERY,41.756965722,-87.67332553
50545,2019-08,OTHER OFFENSE,41.756977549,-87.583135634
50546,2019-08,BATTERY,41.756984659000004,-87.650272093
50550,2019-08,NARCOTICS,41.756989602,-87.644206364
50568,2019-08,WEAPONS VIOLATION,41.757021778,-87.579411421
50573,2019-08,ASSAULT,41.75702248,-87.558073456
50588,2019-08,CRIMINAL TRESPASS,41.75702248,-87.558073456
50605,2019-08,ASSAULT,41.75702248,-87.558073456
50613,2019-08,BATTERY,41.75702248,-87.558073456
50617,2019-08,BATTERY,41.757024091,-87.649058539
50620,2019-08,BATTERY,41.757026071999995,-87.638415174
50624,2019-08,WEAPONS VIOLATION,41.757036053,-87.5782421
50633,2019-08,THEFT,41.757051196,-87.652697661
50691,2019-08,NARCOTICS,41.757154066999995,-87.56664079
50706,2019-08,BATTERY,41.757168898,-87.64298764200001
50711,2019-08,BATTERY,41.757174988,-87.634462621
50732,2019-08,BATTERY,41.757193676,-87.63122616
50740,2019-08,NARCOTICS,41.75720272,-87.64176681
50753,2019-08,NARCOTICS,41.757215902,-87.626347705
50756,2019-08,THEFT,41.757219969,-87.64785064799999
50790,2019-08,CRIMINAL DAMAGE,41.757254773,-87.63179358
50809,2019-08,THEFT,41.757298587,-87.621516226
50811,2019-08,WEAPONS VIOLATION,41.757299314,-87.624741486
50834,2019-08,WEAPONS VIOLATION,41.757327195,-87.64421374700001
50841,2019-08,CRIMINAL DAMAGE,41.757355419,-87.618293993
50862,2019-08,BATTERY,41.757399144000004,-87.62313141700001
50866,2019-08,WEAPONS VIOLATION,41.757409827,-87.62798386899999
50876,2019-08,CRIMINAL DAMAGE,41.757421314,-87.63842557
50877,2019-08,ASSAULT,41.757421401,-87.64299226600001
50909,2019-08,BURGLARY,41.757448244,-87.627983449
50910,2019-08,DECEPTIVE PRACTICE,41.757448244,-87.627983449
50980,2019-08,CRIMINAL DAMAGE,41.757493599,-87.61668715100001
50990,2019-08,DECEPTIVE PRACTICE,41.757510128,-87.641774505
50993,2019-08,NARCOTICS,41.75751328,-87.576114422
50995,2019-08,BATTERY,41.757514614,-87.63842456399999
51004,2019-08,THEFT,41.75752383,-87.586108987
51013,2019-08,THEFT,41.75752383,-87.586108987
51025,2019-08,NARCOTICS,41.757532585999996,-87.624742585
51027,2019-08,THEFT,41.757539801,-87.637145175
51036,2019-08,ASSAULT,41.757547678,-87.607813366
51043,2019-08,ASSAULT,41.75756125,-87.618295373
51057,2019-08,STALKING,41.757564495,-87.62635854
51058,2019-08,BATTERY,41.757564743,-87.634473052
51073,2019-08,ROBBERY,41.757567866,-87.60536485799999
51093,2019-08,OFFENSE INVOLVING CHILDREN,41.757589249,-87.556256082
51105,2019-08,THEFT,41.757601044,-87.663606511
51108,2019-08,BATTERY,41.757602323,-87.63568945600001
51123,2019-08,DECEPTIVE PRACTICE,41.757614433,-87.58611526600001
51129,2019-08,THEFT,41.757614433,-87.58611526600001
51141,2019-08,THEFT,41.757614433,-87.58611526600001
51166,2019-08,THEFT,41.757614433,-87.58611526600001
51170,2019-08,THEFT,41.757614433,-87.58611526600001
51182,2019-08,BATTERY,41.757622369,-87.634472427
51190,2019-08,THEFT,41.757622369,-87.634472427
51200,2019-08,BATTERY,41.757630995,-87.58570824899999
51209,2019-08,MOTOR VEHICLE THEFT,41.757630995,-87.58570824899999
51210,2019-08,BATTERY,41.757630995,-87.58570824899999
51229,2019-08,THEFT,41.757630995,-87.58570824899999
51230,2019-08,BATTERY,41.757630995,-87.58570824899999
51231,2019-08,BATTERY,41.757630995,-87.58570824899999
51267,2019-08,WEAPONS VIOLATION,41.757693491,-87.626360789
51272,2019-08,NARCOTICS,41.757696861999996,-87.605367065
51319,2019-08,THEFT,41.757768851,-87.663205269
51329,2019-08,THEFT,41.757783568,-87.61830023600001
51346,2019-08,ROBBERY,41.757811671,-87.591991804
51372,2019-08,THEFT,41.757838021,-87.60903057600001
51381,2019-08,BATTERY,41.757845639,-87.610239976
