,City,Neighborhood,Lat,Lng
85,"Chicago, IL ", Homan Square,41.8696952,-87.7147986
86,"Chicago, IL ", Horner Park,41.9585722,-87.6950899
87,"Chicago, IL ", Humboldt Park,41.8990752,-87.721293
88,"Chicago, IL ", Hyde Park,41.7947665,-87.59167529999999
89,"Chicago, IL ", Hyde Park Kenwood Historic District,41.7942581,-87.5875671
90,"Chicago, IL ", Irving Park,41.9538222,-87.7192875
91,"Chicago, IL ", Irving Woods,41.9486764,-87.8300628
92,"Chicago, IL ", Jackowo,41.9415011,-87.70250209999999
93,"Chicago, IL ", Jefferson Park,41.982504,-87.77039979999999
94,"Chicago, IL ", Jeffrey Manor,41.71745079999999,-87.5618327
95,"Chicago, IL ", K,41.8806908,-87.6741759
96,"Chicago, IL ", Kelvyn Park,41.9323486,-87.7443371
97,"Chicago, IL ", Kennedy Park,41.6870229,-87.68346079999999
98,"Chicago, IL ", Kenwood,41.8094772,-87.59326639999999
99,"Chicago, IL ", Kilbourn Park,41.942588,-87.73711709999999
100,"Chicago, IL ", Kosciuszko Park,41.9309688,-87.7250021
101,"Chicago, IL ", Lake View,41.9397814,-87.6589273
102,"Chicago, IL ", Lake View East,41.9399723,-87.6492748
103,"Chicago, IL ", Lathrop,41.93256,-87.6790534
104,"Chicago, IL ", LeClaire Courts,41.8103445,-87.7499524
105,"Chicago, IL ", Lincoln Park,41.9254701,-87.64877829999999
106,"Chicago, IL ", Lincoln Square,41.9686816,-87.6889648
107,"Chicago, IL ", Little Cassubia,41.8781136,-87.6297982
108,"Chicago, IL ", Little Italy,41.86954009999999,-87.6511328
109,"Chicago, IL ", Little Vietnam,41.9839394,-87.6594231
110,"Chicago, IL ", Little Village,41.8445273,-87.7050446
111,"Chicago, IL ", Logan Square,41.9230598,-87.70929079999999
112,"Chicago, IL ", Longwood Manor,41.7176094,-87.6455543
113,"Chicago, IL ", Lower West Side,41.8523331,-87.6660157
114,"Chicago, IL ", Loyola,41.9989483,-87.65825919999999
115,"Chicago, IL ", Magnificent Mile,41.894809,-87.6242142
116,"Chicago, IL ", Magnolia Glen,41.9883635,-87.6639757
117,"Chicago, IL ", Margate Park,41.97208800000001,-87.64977429999999
118,"Chicago, IL ", Marquette Park,41.7656499,-87.69907309999999
119,"Chicago, IL ", Marshall Square,41.8478965,-87.6953228
120,"Chicago, IL ", Marynook,41.7392485,-87.5927138
121,"Chicago, IL ", Mayfair,41.9645046,-87.73712880000001
122,"Chicago, IL ", McKinley Park,41.8316175,-87.6729074
123,"Chicago, IL ", Montclare,41.929382,-87.7981597
124,"Chicago, IL ", Morgan Park,41.6875296,-87.6691646
125,"Chicago, IL ", Mount Greenwood,41.6915904,-87.7008049
126,"Chicago, IL ", Near East Side,41.70799419999999,-87.535173
127,"Chicago, IL ", Near North Side,41.90391,-87.6314629
128,"Chicago, IL ", Near South Side,41.80546409999999,-87.60876379999999
129,"Chicago, IL ", New City,41.8066775,-87.6679765
130,"Chicago, IL ", New City / Back of the Yards,41.80753319999999,-87.66616280000001
131,"Chicago, IL ", New East Side,41.8862397,-87.61742079999999
132,"Chicago, IL ", Noble Square,41.8993311,-87.6638512
133,"Chicago, IL ", North Austin,41.9093812,-87.7657445
134,"Chicago, IL ", North Center,41.9467449,-87.6882569
135,"Chicago, IL ", North Kenwood,41.8132628,-87.5992004
136,"Chicago, IL ", North Lawndale,41.8589782,-87.7152017
137,"Chicago, IL ", North Mayfair,41.971802,-87.7373866
138,"Chicago, IL ", North Park,41.9828479,-87.72844289999999
139,"Chicago, IL ", North Side,41.95731,-87.7566513
140,"Chicago, IL ", Northwest Side,41.9475892,-87.7664934
141,"Chicago, IL ", Nortown,41.91047,-87.66064999999999
142,"Chicago, IL ", Norwood Park,41.9858094,-87.80691159999999
143,"Chicago, IL ", Norwood Park East,41.9930188,-87.7896583
144,"Chicago, IL ", Norwood Park West,41.9906475,-87.8167817
145,"Chicago, IL ", Oakland,41.8226995,-87.60135679999999
146,"Chicago, IL ", Old Hegewisch,41.6499306,-87.5457043
147,"Chicago, IL ", Old Irving Park,41.95354589999999,-87.7380684
148,"Chicago, IL ", Old Norwood Park,41.9880826,-87.8029213
149,"Chicago, IL ", Old Town,41.9111206,-87.63980070000001
150,"Chicago, IL ", Old Town Triangle,41.9111206,-87.63980070000001
151,"Chicago, IL ", Oriole Park,41.9761141,-87.8169157
152,"Chicago, IL ", Palmer Square,41.9210705,-87.70048229999999
153,"Chicago, IL ", Park Manor,41.7656921,-87.61525089999999
154,"Chicago, IL ", Park West,41.9289391,-87.64412659999999
155,"Chicago, IL ", Peterson Park,41.9847536,-87.70371349999999
156,"Chicago, IL ", Pill Hill / Calument Heights,41.7262529,-87.5757752
157,"Chicago, IL ", Pilsen,41.8524902,-87.6562598
158,"Chicago, IL ", Portage Park,41.953217,-87.76455759999999
159,"Chicago, IL ", Prairie District,41.85765869999999,-87.62265939999999
160,"Chicago, IL ", Printer's Row,41.87381999999999,-87.6291214
161,"Chicago, IL ", Pulaski Park,41.9051078,-87.6624135
162,"Chicago, IL ", Pullman,41.7076167,-87.594188
163,"Chicago, IL ", Ranch Triangle,41.9151277,-87.6528359
164,"Chicago, IL ", Ravenswood,41.9688072,-87.6791713
165,"Chicago, IL ", Ravenswood Gardens,41.9647413,-87.69385779999999
166,"Chicago, IL ", Ravenswood Manor,41.9648891,-87.7012498
167,"Chicago, IL ", River North,41.89238479999999,-87.6340749
168,"Chicago, IL ", River West,41.8944333,-87.64948079999999
169,"Chicago, IL ", Roscoe Village,41.94323319999999,-87.6784687
170,"Chicago, IL ", Rosehill,41.98649390000001,-87.67517649999999
171,"Chicago, IL ", Roseland,41.71083369999999,-87.62358329999999
172,"Chicago, IL ", Rosemoor,41.7109788,-87.61386999999999
173,"Chicago, IL ", Schorsch Forest View,41.9626472,-87.8414686
174,"Chicago, IL ", Schorsch Village,41.941783,-87.7948864
175,"Chicago, IL ", Scottsdale,41.7420406,-87.7313739
176,"Chicago, IL ", Sheffield,41.9312218,-87.65381060000001
177,"Chicago, IL ", Sheridan Park,41.9655201,-87.6629672
178,"Chicago, IL ", Sheridan Station Corridor,41.95384079999999,-87.6548475
179,"Chicago, IL ", South Austin,41.8873118,-87.7603374
180,"Chicago, IL ", South Chicago,41.7396861,-87.5544182
181,"Chicago, IL ", South Commons,41.8421825,-87.6203371
182,"Chicago, IL ", South Deering,41.6736576,-87.5753373
183,"Chicago, IL ", South East Ravenswood,41.9688072,-87.6791713
184,"Chicago, IL ", South Lawndale / Little Village,41.8445273,-87.7050446
185,"Chicago, IL ", South Loop,41.8786351,-87.6250549
186,"Chicago, IL ", South Old Irving Park,41.94502079999999,-87.7301901
187,"Chicago, IL ", South Shore,41.7594168,-87.5560283
188,"Chicago, IL ", South Side,41.80546409999999,-87.60876379999999
189,"Chicago, IL ", Southwest Side,41.7977249,-87.7172616
190,"Chicago, IL ", St. Ben's,41.9496772,-87.684
191,"Chicago, IL ", Stony Island Park,41.7414774,-87.5803639
192,"Chicago, IL ", Streeterville,41.8927362,-87.6200416
193,"Chicago, IL ", The Chicago University,41.7886079,-87.5987133
194,"Chicago, IL ", The Gap,41.8342593,-87.619872
195,"Chicago, IL ", The Loop,41.8786351,-87.6250549
196,"Chicago, IL ", Tri,41.9548835,-87.6733696
197,"Chicago, IL ", Ukrainian Village,41.8994127,-87.68448509999999
198,"Chicago, IL ", Union Ridge,41.97907379999999,-87.79749559999999
199,"Chicago, IL ", Uptown,41.9665404,-87.6533404
200,"Chicago, IL ", Vittum Park,41.8028954,-87.7472086
201,"Chicago, IL ", Waclawowo,41.9415011,-87.70250209999999
202,"Chicago, IL ", Washington Heights,41.7176485,-87.6431332
203,"Chicago, IL ", Washington Park,41.7944738,-87.615963
204,"Chicago, IL ", West Beverly,41.7056889,-87.6866751
205,"Chicago, IL ", West Chatham,41.7449326,-87.6321215
206,"Chicago, IL ", West Chesterfield,41.729148,-87.6192042
207,"Chicago, IL ", West DePaul,41.9290217,-87.6656217
208,"Chicago, IL ", West Elsdon,41.793219,-87.7231456
209,"Chicago, IL ", West Englewood,41.7780891,-87.66671769999999
210,"Chicago, IL ", West Garfield Park,41.8779353,-87.73048879999999
211,"Chicago, IL ", West Humboldt Park,41.9025009,-87.7361373
212,"Chicago, IL ", West Lake View,41.93594,-87.67824279999999
213,"Chicago, IL ", West Lawn,41.7786631,-87.7227942
214,"Chicago, IL ", West Pullman,41.6778514,-87.64195169999999
215,"Chicago, IL ", West Ridge,42.0005804,-87.69257669999999
216,"Chicago, IL ", West Rogers Park,42.0005804,-87.69257669999999
217,"Chicago, IL ", West Side,41.8771694,-87.7172932
218,"Chicago, IL ", West Town,41.8935946,-87.6721671
219,"Chicago, IL ", West Walker,41.9579732,-87.7233881
220,"Chicago, IL ", West Woodlawn,41.7794339,-87.610586
221,"Chicago, IL ", Wicker Park,41.9104892,-87.6775672
222,"Chicago, IL ", Wildwood,42.0070244,-87.77784179999999
223,"Chicago, IL ", Woodlawn,41.78058,-87.5915351
224,"Chicago, IL ", Woodlawn Ridge,41.7587969,-87.5958227
225,"Chicago, IL ", Wrightwood,41.7457371,-87.6912862
226,"Chicago, IL ", Wrigleyville,41.949062,-87.656516
