City,Neighborhood
"Chicago, IL ", South Shore
"Chicago, IL ", South Side
"Chicago, IL ", Southwest Side
"Chicago, IL ", St. Ben's
"Chicago, IL ", Stony Island Park
"Chicago, IL ", Streeterville
"Chicago, IL ", The Chicago University
"Chicago, IL ", The Gap
"Chicago, IL ", The Loop
"Chicago, IL ", Tri
"Chicago, IL ", Ukrainian Village
"Chicago, IL ", Union Ridge
"Chicago, IL ", Uptown
"Chicago, IL ", Vittum Park
"Chicago, IL ", Waclawowo
"Chicago, IL ", Washington Heights
"Chicago, IL ", Washington Park
"Chicago, IL ", West Beverly
"Chicago, IL ", West Chatham
"Chicago, IL ", West Chesterfield
"Chicago, IL ", West DePaul
"Chicago, IL ", West Elsdon
"Chicago, IL ", West Englewood
"Chicago, IL ", West Garfield Park
"Chicago, IL ", West Humboldt Park
"Chicago, IL ", West Lake View
"Chicago, IL ", West Lawn
"Chicago, IL ", West Pullman
"Chicago, IL ", West Ridge
"Chicago, IL ", West Rogers Park
"Chicago, IL ", West Side
"Chicago, IL ", West Town
"Chicago, IL ", West Walker
"Chicago, IL ", West Woodlawn
"Chicago, IL ", Wicker Park
"Chicago, IL ", Wildwood
"Chicago, IL ", Woodlawn
"Chicago, IL ", Woodlawn Ridge
"Chicago, IL ", Wrightwood
"Chicago, IL ", Wrigleyville
